Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Kilometres Travelled,2016,Tractors & Machinery,Million,1577,,,,,
Kilometres Travelled,2016,Small PSVs,Million,865,,,,,
Kilometres Travelled,2016,Large PSVs,Million,329,,,,,
Kilometres Travelled,2016,Exempt vehicles,Million,458,,,,,
Kilometres Travelled,2016,Other vehicles,Million,409,,,,,
Kilometres Travelled,2017,All vehicle types,Million,48754,,,,,
Kilometres Travelled,2017,Private cars,Million,37181,,,,,
Kilometres Travelled,2017,Goods vehicles,Million,7785,,,,,
Kilometres Travelled,2017,Motor cycles,Million,108,,,,,
Kilometres Travelled,2017,Tractors & Machinery,Million,1575,,,,,
Kilometres Travelled,2017,Small PSVs,Million,858,,,,,
Kilometres Travelled,2017,Large PSVs,Million,361,,,,,
Kilometres Travelled,2017,Exempt vehicles,Million,462,,,,,
Kilometres Travelled,2017,Other vehicles,Million,423,,,,,
Kilometres Travelled,2018,All vehicle types,Million,47545,,,,,
Kilometres Travelled,2018,Private cars,Million,35975,,,,,
Kilometres Travelled,2018,Goods vehicles,Million,7891,,,,,
Kilometres Travelled,2018,Motor cycles,Million,109,,,,,
Kilometres Travelled,2018,Tractors & Machinery,Million,1485,,,,,
Kilometres Travelled,2018,Small PSVs,Million,842,,,,,
Kilometres Travelled,2018,Large PSVs,Million,386,,,,,
Kilometres Travelled,2018,Exempt vehicles,Million,450,,,,,
Kilometres Travelled,2018,Other vehicles,Million,407,,,,,
Kilometres Travelled,2019,All vehicle types,Million,47072,,,,,
Kilometres Travelled,2019,Private cars,Million,35453,,,,,
Kilometres Travelled,2019,Goods vehicles,Million,8023,,,,,
Kilometres Travelled,2019,Motor cycles,Million,114,,,,,
Kilometres Travelled,2019,Tractors & Machinery,Million,1402,,,,,
Kilometres Travelled,2019,Small PSVs,Million,848,,,,,
Kilometres Travelled,2019,Large PSVs,Million,392,,,,,
Kilometres Travelled,2019,Exempt vehicles,Million,438,,,,,
Kilometres Travelled,2019,Other vehicles,Million,403,,,,,
Kilometres Travelled,2020,All vehicle types,Million,36237,,,,,
Kilometres Travelled,2020,Private cars,Million,26102,,,,,
Kilometres Travelled,2020,Goods vehicles,Million,7283,,,,,
Kilometres Travelled,2020,Motor cycles,Million,101,,,,,
Kilometres Travelled,2020,Tractors & Machinery,Million,1289,,,,,
Kilometres Travelled,2020,Small PSVs,Million,552,,,,,
Kilometres Travelled,2020,Large PSVs,Million,271,,,,,
Kilometres Travelled,2020,Exempt vehicles,Million,327,,,,,
Kilometres Travelled,2020,Other vehicles,Million,312,,,,,
Kilometres Travelled,2021,All vehicle types,Million,41878,,,,,
Kilometres Travelled,2021,Private cars,Million,30216,,,,,
Kilometres Travelled,2021,Goods vehicles,Million,8812,,,,,
Kilometres Travelled,2021,Motor cycles,Million,111,,,,,
Kilometres Travelled,2021,Tractors & Machinery,Million,1253,,,,,
Kilometres Travelled,2021,Small PSVs,Million,461,,,,,
Kilometres Travelled,2021,Large PSVs,Million,260,,,,,
Kilometres Travelled,2021,Exempt vehicles,Million,381,,,,,
Kilometres Travelled,2021,Other vehicles,Million,384,,,,,
Kilometres Travelled,2022,All vehicle types,Million,47604,,,,,
Kilometres Travelled,2022,Private cars,Million,34952,,,,,
Kilometres Travelled,2022,Goods vehicles,Million,9356,,,,,
Kilometres Travelled,2022,Motor cycles,Million,114,,,,,
Kilometres Travelled,2022,Tractors & Machinery,Million,1309,,,,,
Kilometres Travelled,2022,Small PSVs,Million,631,,,,,
Kilometres Travelled,2022,Large PSVs,Million,329,,,,,
Kilometres Travelled,2022,Exempt vehicles,Million,439,,,,,
Kilometres Travelled,2022,Other vehicles,Million,474,,,,,
Kilometres Travelled,2023,All vehicle types,Million,47296,,,,,
Kilometres Travelled,2023,Private cars,Million,35126,,,,,
Kilometres Travelled,2023,Goods vehicles,Million,8775,,,,,
Kilometres Travelled,2023,Motor cycles,Million,127,,,,,
Kilometres Travelled,2023,Tractors & Machinery,Million,1269,,,,,
Kilometres Travelled,2023,Small PSVs,Million,694,,,,,
Kilometres Travelled,2023,Large PSVs,Million,419,,,,,
Kilometres Travelled,2023,Exempt vehicles,Million,430,,,,,
Kilometres Travelled,2023,Other vehicles,Million,458,,,,,
Average Kilometres Travelled,2000,All vehicle types,Kilometres,18289,,,,,
Average Kilometres Travelled,2000,Private cars,Kilometres,17558,,,,,
Average Kilometres Travelled,2000,Goods vehicles,Kilometres,23524,,,,,
Average Kilometres Travelled,2000,Motor cycles,Kilometres,3702,,,,,
Average Kilometres Travelled,2000,Tractors & Machinery,Kilometres,18813,,,,,
Average Kilometres Travelled,2000,Small PSVs,Kilometres,39289,,,,,
Average Kilometres Travelled,2000,Large PSVs,Kilometres,38022,,,,,
Average Kilometres Travelled,2000,Exempt vehicles,Kilometres,17872,,,,,
Average Kilometres Travelled,2000,Other vehicles,Kilometres,11069,,,,,
Average Kilometres Travelled,2001,All vehicle types,Kilometres,18456,,,,,
