Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,35 - 44 years,Female,Other road users,Number,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,45 - 54 years,Male,All road users,Number,21,17,22,13,10,12,6,11,13,13,9,14,17,18,14,17,19,15,21
Killed Casualties,45 - 54 years,Male,Pedestrians,Number,4,3,7,5,3,6,3,3,4,1,3,3,3,5,4,1,2,2,6
Killed Casualties,45 - 54 years,Male,Pedal cyclists,Number,0,2,0,2,1,1,0,1,0,3,0,0,5,1,2,2,4,4,1
Killed Casualties,45 - 54 years,Male,Motor cyclists,Number,6,2,3,0,0,0,1,2,4,2,4,3,6,5,4,3,7,3,4
Killed Casualties,45 - 54 years,Male,All Car users,Number,9,7,4,5,4,4,1,3,4,6,0,8,3,7,3,7,5,5,6
Killed Casualties,45 - 54 years,Male,Car drivers,Number,8,4,4,4,2,2,1,2,4,5,0,8,2,7,3,7,5,4,5
Killed Casualties,45 - 54 years,Male,Car passengers,Number,1,3,0,1,2,2,0,1,0,1,0,0,1,0,0,0,0,1,1
Killed Casualties,45 - 54 years,Male,Other road users,Number,2,3,8,1,2,1,1,2,1,1,2,0,0,0,1,4,1,1,4
Killed Casualties,45 - 54 years,Female,All road users,Number,10,5,6,7,9,6,3,8,5,7,3,2,5,3,5,10,4,4,2
Killed Casualties,45 - 54 years,Female,Pedestrians,Number,0,0,2,1,1,1,1,1,0,0,2,1,3,2,1,7,1,3,0
Killed Casualties,45 - 54 years,Female,Pedal cyclists,Number,0,0,2,2,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
Killed Casualties,45 - 54 years,Female,Motor cyclists,Number,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Killed Casualties,45 - 54 years,Female,All Car users,Number,8,4,2,4,8,4,2,4,3,6,1,1,1,1,3,3,3,1,2
Killed Casualties,45 - 54 years,Female,Car drivers,Number,5,2,2,4,8,4,2,4,2,6,1,1,1,1,2,3,3,1,0
Killed Casualties,45 - 54 years,Female,Car passengers,Number,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
Killed Casualties,45 - 54 years,Female,Other road users,Number,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Killed Casualties,55 - 64 years,Male,All road users,Number,22,23,21,8,17,10,8,9,13,7,19,10,9,16,10,13,3,12,8
Killed Casualties,55 - 64 years,Male,Pedestrians,Number,7,8,7,2,7,3,2,3,3,1,4,4,1,4,3,1,2,2,1
Killed Casualties,55 - 64 years,Male,Pedal cyclists,Number,1,2,3,2,0,0,1,1,0,0,2,1,1,2,0,4,0,0,0
Killed Casualties,55 - 64 years,Male,Motor cyclists,Number,2,2,1,1,2,0,1,1,1,2,2,2,0,1,1,1,0,7,3
Killed Casualties,55 - 64 years,Male,All Car users,Number,9,8,5,1,6,3,3,2,5,2,8,3,3,5,4,2,0,2,3
Killed Casualties,55 - 64 years,Male,Car drivers,Number,9,8,4,0,5,3,3,2,5,1,7,3,2,4,4,2,0,2,3
Killed Casualties,55 - 64 years,Male,Car passengers,Number,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Killed Casualties,55 - 64 years,Male,Other road users,Number,3,3,5,2,2,4,1,2,4,2,3,0,4,4,2,6,1,1,1
Killed Casualties,55 - 64 years,Female,All road users,Number,11,5,13,5,5,7,5,2,3,9,5,4,4,9,4,3,5,4,2
Killed Casualties,55 - 64 years,Female,Pedestrians,Number,4,0,4,2,0,4,1,1,2,3,0,0,0,3,2,2,1,2,1
