Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Injured in Collisions,2016,All front seat passengers,Number,916
Users of Cars Injured in Collisions,2017,Car drivers: seat belt in use,Number,2273
Users of Cars Injured in Collisions,2017,Car drivers: seat belt not in use,Number,95
Users of Cars Injured in Collisions,2017,Car drivers: seat belt usage unknown,Number,738
Users of Cars Injured in Collisions,2017,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2017,All car drivers,Number,3106
Users of Cars Injured in Collisions,2017,Front seat passengers: seat belt in use,Number,654
Users of Cars Injured in Collisions,2017,Front seat passengers: seat belt not in use,Number,42
Users of Cars Injured in Collisions,2017,Front seat passengers: seat belt usage unknown,Number,207
Users of Cars Injured in Collisions,2017,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2017,All front seat passengers,Number,903
Users of Cars Injured in Collisions,2018,Car drivers: seat belt in use,Number,2309
Users of Cars Injured in Collisions,2018,Car drivers: seat belt not in use,Number,97
Users of Cars Injured in Collisions,2018,Car drivers: seat belt usage unknown,Number,727
Users of Cars Injured in Collisions,2018,Car drivers: seat belt usage not stated,Number,2
Users of Cars Injured in Collisions,2018,All car drivers,Number,3135
Users of Cars Injured in Collisions,2018,Front seat passengers: seat belt in use,Number,1150
Users of Cars Injured in Collisions,2018,Front seat passengers: seat belt not in use,Number,65
Users of Cars Injured in Collisions,2018,Front seat passengers: seat belt usage unknown,Number,334
Users of Cars Injured in Collisions,2018,Front seat passengers: seat belt usage not stated,Number,8
Users of Cars Injured in Collisions,2018,All front seat passengers,Number,1557
Users of Cars Injured in Collisions,2019,Car drivers: seat belt in use,Number,2252
Users of Cars Injured in Collisions,2019,Car drivers: seat belt not in use,Number,67
Users of Cars Injured in Collisions,2019,Car drivers: seat belt usage unknown,Number,517
Users of Cars Injured in Collisions,2019,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2019,All car drivers,Number,2836
Users of Cars Injured in Collisions,2019,Front seat passengers: seat belt in use,Number,1153
Users of Cars Injured in Collisions,2019,Front seat passengers: seat belt not in use,Number,54
Users of Cars Injured in Collisions,2019,Front seat passengers: seat belt usage unknown,Number,244
Users of Cars Injured in Collisions,2019,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2019,All front seat passengers,Number,1451
Users of Cars Injured in Collisions,2020,Car drivers: seat belt in use,Number,1579
Users of Cars Injured in Collisions,2020,Car drivers: seat belt not in use,Number,59
Users of Cars Injured in Collisions,2020,Car drivers: seat belt usage unknown,Number,417
Users of Cars Injured in Collisions,2020,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2020,All car drivers,Number,2055
Users of Cars Injured in Collisions,2020,Front seat passengers: seat belt in use,Number,770
Users of Cars Injured in Collisions,2020,Front seat passengers: seat belt not in use,Number,56
Users of Cars Injured in Collisions,2020,Front seat passengers: seat belt usage unknown,Number,202
Users of Cars Injured in Collisions,2020,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2020,All front seat passengers,Number,1028
Users of Cars Injured in Collisions,2021,Car drivers: seat belt in use,Number,1889
Users of Cars Injured in Collisions,2021,Car drivers: seat belt not in use,Number,71
Users of Cars Injured in Collisions,2021,Car drivers: seat belt usage unknown,Number,482
Users of Cars Injured in Collisions,2021,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2021,All car drivers,Number,2442
Users of Cars Injured in Collisions,2021,Front seat passengers: seat belt in use,Number,781
Users of Cars Injured in Collisions,2021,Front seat passengers: seat belt not in use,Number,51
Users of Cars Injured in Collisions,2021,Front seat passengers: seat belt usage unknown,Number,235
